<http://http://mementoproxy.cs.odu.edu/aggr/timemap/link/http://mlb.mlb.com/home>;rel="self";type="application/link-format",
 <http://mementoproxy.cs.odu.edu/aggr/timegate/http://mlb.mlb.com/home>;rel="timegate",
 <http://mlb.mlb.com/home>;rel="original",
 <http://wayback.archive-it.org/all/20130328191429/http://mlb.mlb.com/home>;rel="first memento";datetime="Thu, 28 Mar 2013 19:14:29 GMT",
 <http://wayback.archive-it.org/all/20130329013105/http://mlb.mlb.com/home>;rel="memento";datetime="Fri, 29 Mar 2013 01:31:05 GMT",
 <http://wayback.archive-it.org/all/20130408212304/http://mlb.mlb.com/home>;rel="memento";datetime="Mon, 08 Apr 2013 21:23:04 GMT",
 <http://wayback.archive-it.org/all/20130412142432/http://mlb.mlb.com/home>;rel="memento";datetime="Fri, 12 Apr 2013 14:24:32 GMT",
 <http://wayback.archive-it.org/all/20130415213551/http://mlb.mlb.com/home>;rel="memento";datetime="Mon, 15 Apr 2013 21:35:51 GMT",
 <http://wayback.archive-it.org/all/20130416085016/http://mlb.mlb.com/home>;rel="memento";datetime="Tue, 16 Apr 2013 08:50:16 GMT",
 <http://wayback.archive-it.org/all/20130418171233/http://mlb.mlb.com/home>;rel="memento";datetime="Thu, 18 Apr 2013 17:12:33 GMT",
 <http://wayback.archive-it.org/all/20130419002334/http://mlb.mlb.com/home>;rel="memento";datetime="Fri, 19 Apr 2013 00:23:34 GMT",
 <http://wayback.archive-it.org/all/20130419171443/http://mlb.mlb.com/home>;rel="memento";datetime="Fri, 19 Apr 2013 17:14:43 GMT",
 <http://wayback.archive-it.org/all/20130420002556/http://mlb.mlb.com/home>;rel="memento";datetime="Sat, 20 Apr 2013 00:25:56 GMT",
 <http://wayback.archive-it.org/all/20130420010055/http://mlb.mlb.com/home>;rel="memento";datetime="Sat, 20 Apr 2013 01:00:55 GMT",
 <http://wayback.archive-it.org/all/20130420085306/http://mlb.mlb.com/home>;rel="memento";datetime="Sat, 20 Apr 2013 08:53:06 GMT",
 <http://wayback.archive-it.org/all/20130420182309/http://mlb.mlb.com/home>;rel="memento";datetime="Sat, 20 Apr 2013 18:23:09 GMT",
 <http://wayback.archive-it.org/all/20130420200726/http://mlb.mlb.com/home>;rel="memento";datetime="Sat, 20 Apr 2013 20:07:26 GMT",
 <http://wayback.archive-it.org/all/20130420205627/http://mlb.mlb.com/home>;rel="memento";datetime="Sat, 20 Apr 2013 20:56:27 GMT",
 <http://wayback.archive-it.org/all/20130421154314/http://mlb.mlb.com/home>;rel="memento";datetime="Sun, 21 Apr 2013 15:43:14 GMT",
 <http://wayback.archive-it.org/all/20130422061115/http://mlb.mlb.com/home>;rel="memento";datetime="Mon, 22 Apr 2013 06:11:15 GMT",
 <http://wayback.archive-it.org/all/20130422065041/http://mlb.mlb.com/home>;rel="memento";datetime="Mon, 22 Apr 2013 06:50:41 GMT",
 <http://wayback.archive-it.org/all/20130422085247/http://mlb.mlb.com/home>;rel="memento";datetime="Mon, 22 Apr 2013 08:52:47 GMT",
 <http://wayback.archive-it.org/all/20130422174701/http://mlb.mlb.com/home>;rel="memento";datetime="Mon, 22 Apr 2013 17:47:01 GMT",
