<http://http://mementoproxy.cs.odu.edu/aggr/timemap/link/http://www.cs.odu.edu>;rel="self";type="application/link-format",
 <http://mementoproxy.cs.odu.edu/aggr/timegate/http://www.cs.odu.edu>;rel="timegate",
 <http://www.cs.odu.edu>;rel="original",
 <http://web.archive.org/web/19970102130137/http://cs.odu.edu/>;rel="first memento";datetime="Thu, 02 Jan 1997 13:01:37 GMT",
 <http://web.archive.org/web/19970606105039/http://www.cs.odu.edu/>;rel="memento";datetime="Fri, 06 Jun 1997 10:50:39 GMT",
 <http://web.archive.org/web/19971010201632/http://www.cs.odu.edu/>;rel="memento";datetime="Fri, 10 Oct 1997 20:16:32 GMT",
 <http://web.archive.org/web/19971211124211/http://www.cs.odu.edu/>;rel="memento";datetime="Thu, 11 Dec 1997 12:42:11 GMT",
 <http://web.archive.org/web/19981203143139/http://www.cs.odu.edu/>;rel="memento";datetime="Thu, 03 Dec 1998 14:31:39 GMT",
 <http://web.archive.org/web/19981212024114/http://www.cs.odu.edu/>;rel="memento";datetime="Sat, 12 Dec 1998 02:41:14 GMT",
 <http://web.archive.org/web/19990117004954/http://cs.odu.edu/>;rel="memento";datetime="Sun, 17 Jan 1999 00:49:54 GMT",
 <http://web.archive.org/web/19990117074353/http://cs.odu.edu/>;rel="memento";datetime="Sun, 17 Jan 1999 07:43:53 GMT",
 <http://web.archive.org/web/19990125085302/http://cs.odu.edu/>;rel="memento";datetime="Mon, 25 Jan 1999 08:53:02 GMT",
 <http://web.archive.org/web/19990125094515/http://www.cs.odu.edu/>;rel="memento";datetime="Mon, 25 Jan 1999 09:45:15 GMT",
 <http://web.archive.org/web/19990203083755/http://www3.cs.odu.edu/>;rel="memento";datetime="Wed, 03 Feb 1999 08:37:55 GMT",
 <http://web.archive.org/web/19990204030311/http://cs.odu.edu/>;rel="memento";datetime="Thu, 04 Feb 1999 03:03:11 GMT",
 <http://web.archive.org/web/19990208003930/http://cs.odu.edu/>;rel="memento";datetime="Mon, 08 Feb 1999 00:39:30 GMT",
 <http://web.archive.org/web/19990208012447/http://www.cs.odu.edu/>;rel="memento";datetime="Mon, 08 Feb 1999 01:24:47 GMT",
 <http://web.archive.org/web/19990218061943/http://www.cs.odu.edu/>;rel="memento";datetime="Thu, 18 Feb 1999 06:19:43 GMT",
 <http://web.archive.org/web/19990424155718/http://www.cs.odu.edu/>;rel="memento";datetime="Sat, 24 Apr 1999 15:57:18 GMT",
 <http://web.archive.org/web/19990429135736/http://www.cs.odu.edu/>;rel="memento";datetime="Thu, 29 Apr 1999 13:57:36 GMT",
 <http://web.archive.org/web/19990429170855/http://cs.odu.edu/>;rel="memento";datetime="Thu, 29 Apr 1999 17:08:55 GMT",
 <http://web.archive.org/web/19990502025800/http://cs.odu.edu/>;rel="memento";datetime="Sun, 02 May 1999 02:58:00 GMT",
 <http://web.archive.org/web/19990502033600/http://cs.odu.edu/>;rel="memento";datetime="Sun, 02 May 1999 03:36:00 GMT",
 <http://web.archive.org/web/19991012023313/http://cs.odu.edu/>;rel="memento";datetime="Tue, 12 Oct 1999 02:33:13 GMT",
 <http://web.archive.org/web/20000302080433/http://www.cs.odu.edu/>;rel="memento";datetime="Thu, 02 Mar 2000 08:04:33 GMT",
