Blog hanging	wednesday	travel	fit	size	bottom	grandma	grateful	west	photos	technology	dirty	cream	research	hahaha	details	dogs	kitchen	test	teacher	poor	pool	evening	heavy	american	obviously	similar	links	including	university	tuesday	http	liked	likes	movies	anymore	personal	omg	lovely	dear	afternoon	happening	father	talked	fuck	speaking	label	download	quickly	stuck	apartment	king	wrote	shirt	questions	expect	edit	g	married	joe	kinda	hurt	machine	twitter	theme	babies	current	winter	records	pop	act	ah	al	community	results	jesus	email	co	cd	ball	moments	comments	em	el	breakfast	classic	ahead	nights	march	click	till	ben	language	luck	im	www	daddy	died	skin	pink	gotta	safe	nose	students	search	blood	blogging	y	broken	six	national	center	bus	mp	mr	several	gift	chocolate	color	program	presentation	arrived	planning	brain	create	record	lord	easier	series	tree	shower	previous	son	sign	fish	death	continue	spring	un	uk	fresh	truth	daughter	beach	japan	created	cat	album	card	message	price	history	ya	stopped	usual	lines	based	strange	explain	disco	website	human	join	tears	artist	shop	nearly	members	train	actual	hospital	onto	report	focus	cook	unfortunately	ideas	college	nd	ladies	thursday	basically	v	hotel	mommy	problems	wall	whether	beauty	knowing	smell	truck	slow	complete	certain	consider	dress	currently	hoping	major	produced	upon	tickets	india	office	received	speak	reality	brown	honest	online	notice	building	stayed	beyond	bonus	youtube	mentioned	exactly	woke	bar	die	everybody	soul	stupid	mark	shopping	doctor	tour	collection	mention	south	unless	alive	quick	memory	review	reach	aren	various	amount	choose	conversation	chicken	english	lead	june	service	mouth	singer	cup	roll	choice	matt	pulled	internet	situation	singapore	learning	followed	entire	land	process	realize	web	sarah	coffee	l	john	nobody	hang	easily	musical	josh	update	non	gonna	tracks	station	feels	forgotten	lived	popular	michael	parts	headed	lose	library	star	somehow	performance	among	^	sleeping	enjoying	facebook	restaurant	que	happens	wedding	conference	level	posts	guitar	taste	wife	weight	peace	holiday	fear	feat	opening	wanna	perhaps	cake	episode	fair	possible	began	wondering	spot	vacation	image	passed	original	content	pics	action	keeping	science	information	w	session	recent	hello	standing	david	figured	stage	study	dj	dr	fight	interested	hell	indeed	okay	ground	husband	concert	article	media	ft	jordan	towards	wow	himself	noticed	ha	net	posting	points	items	form	shit	digital	fell	yummy	pain	videos	release	bunch	la	comment	latest	photo	bands	na	events	worse	worst	ten	tea	difficult	health	added	sharing	reasons	sort	cars	itself	example	rd	everywhere	adam	large	gold	cry	available	church	seemed	magic	challenge	system	dan	total	earlier	war	certainly	presented	truly	cannot	celebrate	damn	picked	data	admit	immediately	warm	dog	lazy	opportunity	dreams	managed	film	difference	public	simply	ran	f	apparently	mid	mix	lol	snow	radio	released	slowly	chinese	finding	rainy	remix	related	july	scared	exciting	below	ate	season	punk	sat	pages	org	chase	pieces	haha	law	eventually	holding	market	club	worry	albums	makeup	control	quality	became	japanese	lights	lyrics	daily	lake	everyday	laughing	further	particular	gotten	dancing	meeting	kill	entry	google	ourselves	favourite	sing	de	text	calling	general	helped	soft	j	changed	changes	driving	sky	bye	practice	window	ep	
live love in the world	2	6	2	1	5	0	0	2	2	1	0	2	0	0	0	1	0	6	0	2	14	2	2	0	4	1	2	2	0	6	2	5	2	0	0	0	1	0	4	0	2	0	16	0	0	5	0	0	1	1	0	1	4	8	3	1	0	1	3	0	0	0	1	3	0	1	0	1	0	1	1	0	0	10	0	35	16	3	0	5	5	4	1	2	1	0	2	0	6	19	0	0	5	0	0	11	2	0	9	0	0	2	4	1	0	8	2	4	0	3	3	5	0	0	0	5	15	5	3	11	0	1	1	0	5	0	6	1	0	0	0	0	13	2	0	1	0	0	0	0	2	7	8	4	0	7	0	0	5	8	0	0	0	0	0	1	4	1	0	0	2	9	6	2	0	2	2	8	0	6	0	2	3	0	0	1	8	4	1	2	1	1	1	0	0	0	1	1	11	5	6	8	0	1	5	8	9	0	1	0	0	3	0	2	3	5	6	7	7	3	10	5	1	1	2	0	2	3	8	0	0	0	0	0	0	0	5	0	2	0	6	0	0	3	3	1	6	0	6	2	3	5	2	0	4	2	2	0	1	1	0	0	3	1	2	0	5	0	5	1	6	4	2	4	0	1	3	2	2	0	2	2	0	0	0	4	1	0	2	6	4	4	0	0	1	0	0	0	0	4	0	4	0	3	0	7	1	0	4	1	1	0	4	0	0	1	3	2	3	6	0	1	0	0	0	0	1	2	6	7	0	2	14	2	0	2	0	0	0	0	1	0	0	5	0	0	3	4	7	4	0	1	0	5	1	3	8	1	5	0	9	7	0	0	0	0	4	1	0	0	5	2	3	1	0	2	0	6	1	3	5	2	1	12	0	6	9	0	0	2	1	1	2	0	1	0	7	4	16	1	2	2	3	0	0	1	0	2	2	38	1	0	3	0	0	1	2	1	1	0	2	4	2	0	0	0	3	2	0	1	4	3	2	0	3	9	2	8	0	2	6	1	0	0	3	3	3	0	0	5	0	0	2	1	0	2	23	1	7	0	1	0	5	1	1	0	0	3	2	3	9	1	0	3	0	0	3	0	0	0	2	0	1	2	1	2	3	1	0	1	1	0	5	0	2	0	2	1	2	1	0	1	5	1	2	2	0	8	2	0	
On The One's n Two's	2	1	0	0	2	1	0	0	2	1	0	17	0	0	0	0	0	0	2	0	0	0	0	2	5	0	1	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	9	1	2	8	0	1	0	3	1	0	3	0	3	10	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	1	6	1	0	0	1	0	4	0	7	1	0	0	0	7	4	0	0	0	1	0	1	0	0	0	6	0	5	0	0	1	2	0	8	1	0	1	0	0	0	0	0	0	0	0	6	1	1	3	0	0	0	0	1	0	0	0	1	0	2	1	0	0	1	1	2	1	4	1	0	0	0	3	0	3	0	0	0	0	11	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	4	0	2	4	1	6	0	0	1	0	0	3	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	5	1	1	0	3	5	1	0	3	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	2	0	0	0	9	1	0	0	0	0	0	0	1	0	1	0	20	0	0	5	1	0	1	0	0	2	1	0	6	0	1	0	94	1	1	0	4	0	0	0	0	1	0	2	23	0	0	0	2	0	0	0	2	0	0	1	5	0	0	0	0	0	3	0	3	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	0	1	0	1	0	1	3	0	0	0	2	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	1	0	0	3	0	0	3	1	0	3	0	1	105	0	1	1	7	0	0	0	0	85	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	2	0	20	0	0	0	1	2	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	1	0	1	0	1	1	0	1	0	
Be You.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Too Much Apple Pie	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	3	1	1	0	1	1	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	3	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	24	0	0	0	0	1	0	3	0	0	0	7	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	1	0	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	2	0	0	1	3	2	0	0	1	0	1	1	0	0	0	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	10	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	
Kelvin's Space	0	3	0	1	2	4	0	0	0	0	0	0	3	0	1	0	1	1	0	0	0	8	0	0	1	0	1	0	3	0	4	0	1	2	0	1	0	0	0	0	11	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	10	0	0	1	0	0	0	0	0	1	0	0	38	0	0	0	6	1	4	1	0	1	0	0	0	0	0	4	6	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	3	4	0	3	2	4	0	0	8	0	0	3	1	0	13	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	2	3	0	2	4	0	1	0	0	8	57	0	0	0	1	0	2	4	0	1	3	1	1	0	3	0	1	0	1	0	2	1	0	0	1	1	0	0	4	7	0	0	0	1	1	19	0	0	24	0	0	0	14	2	1	0	4	2	0	0	1	0	0	0	0	0	0	1	1	10	1	0	0	1	2	0	0	0	1	0	1	0	1	0	2	0	1	1	0	0	0	0	1	1	0	5	4	0	0	0	0	0	3	0	7	3	0	0	0	0	0	0	0	0	2	0	0	0	0	11	16	0	5	0	0	0	0	0	0	0	4	0	4	0	1	0	0	2	11	0	11	0	2	0	0	2	1	1	0	2	1	0	8	3	0	0	0	0	4	0	1	0	4	0	1	0	0	7	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	7	0	0	0	0	15	2	0	0	0	2	1	4	0	0	1	0	0	1	1	0	0	3	0	1	2	2	0	0	0	5	2	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	4	0	0	0	11	0	0	0	0	3	7	1	21	12	2	0	0	0	0	0	0	0	1	0	3	10	3	0	0	0	0	0	0	1	4	0	0	7	2	0	2	0	0	3	1	1	0	0	1	0	2	1	0	1	0	1	1	0	2	0	4	0	0	0	2	0	
Life on Base	2	2	1	5	1	1	0	0	2	5	0	3	1	1	0	0	4	2	2	0	3	0	3	1	0	1	1	0	2	0	1	1	0	2	2	1	2	0	5	4	4	0	1	0	0	0	0	1	2	1	0	1	6	2	2	2	4	3	4	0	0	0	4	2	1	0	1	3	0	3	1	2	0	3	1	0	2	1	0	0	1	1	0	0	0	0	4	2	3	1	0	0	1	0	0	1	1	2	2	1	1	2	0	1	0	0	5	2	0	2	2	0	0	0	0	0	6	8	1	1	1	7	0	0	3	1	1	2	1	1	1	4	0	1	0	0	1	9	1	0	2	2	5	5	0	0	1	0	1	0	5	0	0	2	0	1	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	5	2	0	3	0	1	2	4	0	0	1	1	0	2	0	2	4	0	3	0	1	2	5	1	3	0	3	0	2	0	0	2	1	0	1	0	0	2	1	1	1	2	0	0	1	2	0	0	1	0	1	0	1	1	0	2	1	0	4	1	2	0	0	1	0	1	1	0	2	0	2	3	0	2	0	1	1	2	1	0	0	1	1	0	0	2	1	1	0	1	3	0	1	4	1	1	0	1	1	0	0	8	0	1	0	1	4	1	1	1	3	0	1	1	0	1	0	0	0	0	0	1	8	1	0	1	5	0	1	4	1	2	8	0	0	0	0	0	1	1	1	13	1	0	1	4	3	0	2	2	0	3	2	2	0	3	0	0	3	0	3	1	1	1	4	1	1	1	1	1	2	0	1	7	2	8	0	4	0	0	0	0	0	0	1	2	0	3	1	0	2	0	1	3	2	0	1	1	1	1	6	1	8	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	7	2	0	3	1	0	1	3	0	1	1	1	5	0	0	2	0	2	2	1	14	6	3	1	1	2	2	0	0	0	0	3	4	0	0	3	1	0	0	0	0	2	0	1	5	0	1	2	0	3	0	1	1	0	0	3	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	2	0	0	1	1	0	1	2	0	0	2	2	9	0	1	1	0	0	1	0	0	1	1	4	1	3	0	0	0	
HOUSE EDIT REMIX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	10	3	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	
Rachel Lyn	0	1	1	3	0	0	3	4	0	1	1	0	5	0	0	0	1	0	0	3	4	1	5	0	1	0	1	0	2	0	3	2	2	2	1	1	1	0	3	12	1	1	7	1	0	3	0	0	0	1	0	8	1	3	0	1	0	0	6	0	3	2	0	0	3	7	0	7	0	0	3	0	0	0	0	1	1	0	4	1	0	0	6	0	0	0	1	0	1	0	0	0	0	3	0	2	1	1	0	2	1	0	5	1	0	1	8	0	0	1	0	1	1	1	1	0	2	1	3	2	0	1	2	0	0	2	1	0	0	10	2	0	0	0	4	0	0	11	1	0	2	0	1	7	1	1	2	1	4	0	1	1	8	1	1	0	0	0	1	0	3	0	1	0	1	0	0	2	3	0	2	0	0	1	0	0	0	1	1	1	0	1	2	0	0	0	3	0	2	0	4	1	0	3	0	0	6	1	0	0	0	1	5	0	1	0	0	0	2	0	0	1	1	3	2	0	0	0	2	6	0	1	3	0	0	0	2	2	0	0	1	0	4	0	1	2	1	1	8	0	0	1	0	0	0	2	0	1	0	1	3	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	4	0	4	0	6	0	4	0	12	0	1	1	0	2	1	1	0	1	0	1	3	2	1	1	0	2	0	1	1	0	3	2	7	0	4	0	2	0	0	0	1	1	0	1	5	0	1	0	0	0	0	1	1	0	0	3	1	0	3	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	6	0	0	0	1	0	1	3	0	1	2	0	0	0	0	0	0	0	1	1	0	0	6	0	0	1	1	0	0	2	0	0	4	0	0	0	1	0	1	0	0	0	0	1	3	8	0	0	2	1	8	0	1	0	0	1	1	4	3	0	0	2	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	4	2	1	0	1	0	3	1	0	0	0	1	0	0	1	1	1	3	1	1	0	0	0	0	0	0	0	10	3	0	1	3	2	0	0	2	0	0	1	1	0	0	0	0	5	0	1	4	1	4	1	0	0	0	0	0	4	0	2	2	3	4	0	0	3	0	1	7	2	3	3	0	
Welcome to Sarah & Benson's World	0	0	0	1	1	1	4	0	0	3	0	1	3	0	0	0	0	2	0	4	1	2	1	1	0	0	1	0	0	0	0	0	0	0	0	3	1	0	3	4	3	0	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	56	0	1	0	0	14	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	1	1	6	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	3	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	5	0	0	0	5	0	2	0	1	0	0	0	0	5	3	3	1	2	0	0	0	138	0	0	0	0	3	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0	0	3	0	3	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	5	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	7	3	1	1	0	0	0	1	0	0	0	7	4	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	
ayreslife.com	1	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	
